date,000338.SZ,002027.SZ,002371.SZ,600009.SH,600029.SH,600183.SH,600406.SH,600900.SH,601989.SH,601998.SH
2010-03-16,4.6699,1.492,12.3653,15.0836,5.9234,3.5885,3.1943,4.9168,4.0047,3.7238
2010-03-17,4.7768,1.5237,12.4617,15.6086,6.0735,3.743,3.2822,4.9748,4.0699,3.8038
2010-03-18,4.7267,1.5395,12.3046,15.5336,6.0999,3.7499,3.2873,4.9439,4.0403,3.7825
2010-03-19,4.7462,1.544,11.657,15.7252,6.3559,3.9353,3.3255,4.9439,4.064,3.7985
2010-03-22,4.8291,1.5712,11.8058,15.7919,6.3736,4.0692,3.4516,4.9323,4.1291,3.8359
2010-03-23,4.8082,1.5916,11.659,15.4836,6.2147,4.0383,3.629,4.8898,4.1173,3.7825
2010-03-24,4.7858,1.5667,12.8243,15.3419,6.1529,4.0109,3.852,4.8704,4.1114,3.7932
2010-03-25,4.6796,1.5984,13.0737,15.0252,6.1882,3.9353,3.7331,4.8395,4.058,3.7025
2010-03-26,5.0108,1.5961,13.407,15.4669,6.4619,4.0418,3.8086,4.8511,4.1114,3.8092
2010-03-29,5.0736,1.5803,13.6061,15.6002,6.5943,4.0383,3.748,4.913,4.1943,3.9479
2010-03-30,5.2104,1.6142,13.9372,15.6502,6.5678,4.1002,3.7525,4.8666,4.1943,3.9852
2010-03-31,5.1424,1.5893,13.8324,15.4419,6.6649,4.1757,3.931,4.8395,4.1351,3.9212
2010-04-01,5.3001,1.6255,13.8911,15.5002,6.6473,4.1826,4.2878,4.8666,4.1824,3.9479
2010-04-02,5.4646,1.6414,13.7989,15.6502,6.6473,4.107,4.2363,4.8627,4.2417,3.9212
2010-04-06,5.3001,1.6391,14.5659,15.6669,6.8415,4.1311,4.3233,4.8472,4.1765,3.9159
2010-04-07,5.2993,1.6142,14.6707,15.4919,6.8503,4.1791,4.4742,4.8743,4.2358,3.8785
2010-04-08,5.0983,1.6436,13.7989,15.5502,7.2299,4.4332,4.4719,4.855,4.2061,3.8359
2010-04-09,5.1184,1.6753,14.042,15.9252,7.38,4.5294,4.4399,4.9516,4.2121,3.8519
2010-04-12,4.945,1.7252,14.0986,16.3753,8.0597,4.5328,4.4376,5.083,4.1054,3.7718
2010-04-13,5.1087,1.6482,13.2665,15.9919,7.8037,4.4023,4.2844,5.0985,4.1587,3.8839
2010-04-14,5.0534,1.6436,13.2665,16.0586,7.8213,4.5088,4.2912,5.0946,4.1351,3.8625
2010-04-15,5.0758,1.6006,12.5099,15.7836,7.7595,4.5088,4.1483,5.0869,4.0995,3.8519
