date,w_000338.SZ,w_002027.SZ,w_002371.SZ,w_600009.SH,w_600029.SH,w_600183.SH,w_600406.SH,w_600900.SH,w_601989.SH,w_601998.SH,w_CASH
2023-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-08-08,1.1966928537981002e-11,1.9276551413351658e-11,0.24194149319072503,1.8973203301011614e-11,9.854098501495361e-12,1.0959633144100616e-11,0.25934886595541956,0.3836054570667459,9.915404442585242e-12,0.11510418370616365,0
2023-08-09,1.7575461091161595e-10,5.446573699615861e-10,0.2460497554909889,3.2816789533545007e-10,1.3486878036200165e-10,1.715323843024449e-10,0.2568867273921083,0.40369689857503427,1.9400363558345416e-10,0.09336661699288394,0
2023-08-10,3.6174168405144325e-11,1.1055953715671096e-10,0.2605701506492856,6.268221463836063e-11,2.280380919728169e-11,3.3316838194532334e-11,0.26341577698126317,0.4146189040848827,3.7497516501677546e-11,0.0613951679815345,0
2023-08-11,1.2417372143416152e-11,3.9803245472591e-11,0.26057013770079673,2.2246496059339136e-11,8.767900879386666e-12,1.1631359601901547e-11,0.2634157979098609,0.41461881084049707,1.270833799494766e-11,0.061395253441270406,0
2023-08-14,1.9067093056686643e-11,5.699048735512641e-11,0.27365633999187366,3.453163351019782e-11,1.2980648945676492e-11,1.7868428160720504e-11,0.25077923677589137,0.4755644205703887,2.0384983757852637e-11,2.5000227994062414e-09,0
2023-08-15,4.37639830018505e-11,1.0085537748011076e-10,0.2939707710714478,6.585793974979308e-11,3.4679378069868334e-11,4.266425612430081e-11,0.25223994883250805,0.4537892789370318,4.245724740645958e-11,8.287340839951352e-10,0
2023-08-16,4.2986221064636185e-12,5.707746489322501e-12,0.2682214750301849,6.460047129458829e-12,3.3859132687937216e-12,4.410831190796189e-12,0.24149050365328165,0.4902880212554784,4.318283391265532e-12,3.2473630300348085e-11,0
2023-08-17,6.485292269096407e-11,6.523458252970329e-11,0.25949687951270467,9.217218158595943e-11,4.901933993514686e-11,6.366343846802096e-11,0.2210449877396294,0.5194581318512178,6.114955271527559e-11,5.003561746554948e-10,0
2023-08-18,3.649294797376434e-12,7.341478122607734e-12,0.26831427798473884,5.687299326772955e-12,2.685249319029687e-12,3.933283545132199e-12,0.24385954499415263,0.48782617691652236,3.889315131609857e-12,7.740033520381232e-11,0
2023-08-21,2.308234888610364e-10,5.611698527586138e-10,0.2594964236624401,3.654628496231667e-10,1.8587552383043719e-10,2.60378400750041e-10,0.2210492862737246,0.5194542855252027,2.5526323681188593e-10,2.6796591690644174e-09,0
2023-08-22,1.1015867607854045e-11,2.1943605356416262e-11,0.24404022754206867,1.7274925793789902e-11,1.1014839856774984e-11,1.336376791529533e-11,0.2331202717606788,0.5228395004653797,1.217472099348545e-11,1.4508522748312182e-10,0
2023-08-23,2.0789753621396986e-10,7.213446751587564e-10,0.26742830175636617,3.3997866998305884e-10,1.9850608266842255e-10,2.477375707569162e-10,0.24427292651843543,0.48829876698391483,2.3394077739795297e-10,2.7918780598492444e-09,0
2023-08-24,2.7991938438279724e-11,7.170237163898415e-11,0.2440402258329058,4.4214493368403204e-11,2.663074709297898e-11,2.9670306076542526e-11,0.23312028657655778,0.5228394870956644,2.876085529898135e-11,2.659012444793689e-10,0
2023-08-25,1.0946504319668308e-10,2.436198682991551e-10,0.24479333461918062,1.7538031195514018e-10,1.1044656394116621e-10,1.2034937192491713e-10,0.2296181787463989,0.5255884842604952,1.3056239307748412e-10,1.4841018075881306e-09,0
2023-08-28,2.337227386425785e-11,1.2359869167856285e-10,0.29227954147222956,3.8487422078147635e-11,2.327031102320878e-11,2.7064354767402293e-11,0.23908681054839845,0.46863364740693936,3.174067845558399e-11,3.0489870442299316e-10,0
2023-08-29,8.495910229905877e-11,3.5814329372649673e-10,0.26268468880454826,1.3177570402541283e-10,8.20952446522875e-11,9.484842471786211e-11,0.22962030115262919,0.5076950083809342,1.0826344590288337e-10,8.018029592292816e-10,0
2023-08-30,2.7140227286509484e-12,1.4839983191297818e-11,0.2708719835240409,4.55131373193636e-12,2.9973259307533713e-12,3.2525010679221507e-12,0.2471726044375002,0.4819554119528788,3.670012119486158e-12,5.3555026811257294e-11,0
2023-08-31,5.717167634947766e-12,7.258050917696664e-11,0.2712082412004754,1.2350158231126962e-11,6.623926224260231e-12,8.601589686941214e-12,0.24789346807103058,0.4808982903985949,9.58902951871171e-12,2.1443671302087902e-10,0
2023-09-01,7.859561298860052e-11,1.0539024755366417e-09,0.2691198433010843,1.455113873376152e-10,8.471287058876379e-11,9.94061952048695e-11,0.24693266516311596,0.48394748868169046,1.1349249682538202e-10,1.2784883002641676e-09,0
2023-09-04,1.9463332241854758e-11,2.864680856863723e-10,0.2712082100719418,3.337986350556842e-11,2.0561854501530458e-11,2.324074984271913e-11,0.24789345077768213,0.48089833839331875,2.6933364643544563e-11,3.470100827223229e-10,0
2023-09-05,8.444494123125537e-12,1.9134931950174151e-10,0.2939707719942224,1.7598252206898365e-11,9.570500395560934e-12,1.1655274827217054e-11,0.252240016443396,0.4537892109139402,1.3571985443656656e-11,3.962514483909474e-10,0
2023-09-06,4.8380035837541385e-11,9.092240573589745e-10,0.28395057421273434,1.0735777862135334e-10,5.7755586412311815e-11,6.553194432827088e-11,0.2517410877319749,0.41716763254631506,8.105142641440993e-11,0.047140704239674966,0
2023-09-07,6.275566418052004e-11,1.2982787552333705e-09,0.2736519048334704,1.3959126729052873e-10,7.49239583845244e-11,8.43260156540218e-11,0.2531321731004914,0.4732158922830871,1.109031833616533e-10,2.8012172164062015e-08,0
2023-09-08,2.1314077034062154e-12,3.561212602798336e-11,0.27365191159511076,4.505546188558963e-12,2.6393287178218328e-12,2.6817817680505194e-12,0.25313217974035357,0.4732159084123112,3.5598335661918434e-12,2.01094451172107e-10,0
2023-09-11,1.9276106193427166e-11,2.1317326554103673e-10,0.2663818564430032,3.9623909171482246e-11,2.27318171568902e-11,2.3968701357471264e-11,0.24983313727948842,0.48378500448734946,3.172462063912117e-11,1.4396603715311568e-09,0
2023-09-12,1.1153865090799195e-10,1.3616431236241753e-09,0.29298309794446326,2.1754772833462345e-10,1.1491470299611137e-10,1.1704558602732705e-10,0.25629948101865774,0.4507173760351409,1.7089016865977744e-10,4.290815813757902e-08,0
2023-09-13,3.288212376070279e-11,1.090421791750295e-09,0.276980458842937,6.046452415604758e-11,3.281553406063564e-11,3.2637381663428045e-11,0.2704886830592044,0.4373661197029062,4.663129670284637e-11,0.015164737099099731,0
2023-09-14,2.89033806043194e-11,3.7098857079202674e-09,0.2828623580488194,5.016071547029128e-11,2.8102178103064403e-11,2.9091833944796168e-11,0.25872146479297936,0.41694769719984237,3.589284234469064e-11,0.04146847607632213,0
2023-09-15,1.7923517747097712e-10,0.002781818752807328,0.29411941749360976,3.353818123465478e-10,1.7702563140801594e-10,2.048824419404622e-10,0.25086608080355605,0.4522326679717653,2.475820960074121e-10,1.3834154517690389e-08,0
2023-09-18,2.328691891635611e-10,9.955831087400708e-09,0.271208408665593,4.1662519972049754e-10,2.345566435130644e-10,2.5579261572046906e-10,0.2478933711689194,0.4808981711950182,3.1158760091199094e-10,3.756320713332108e-08,0
2023-09-19,8.498310087463629e-12,5.800858566430222e-10,0.2715498112852488,1.5756372386841736e-11,8.555155688554668e-12,1.1503569278180461e-11,0.24805061196367467,0.4803995758451967,1.2003610199635702e-11,2.6947686292667953e-10,0
2023-09-20,7.557862117614214e-12,0.009145845419128619,0.29494615550227765,1.5765100981886687e-11,8.374718022696691e-12,1.165482725490024e-11,0.24167907655578255,0.4542289209658582,1.1810784550615293e-11,1.5017898007217138e-09,0
2023-09-21,2.8022523115983725e-12,4.365080637470595e-10,0.2839380905599396,5.325965801354317e-12,2.925464023993173e-12,4.241756772882914e-12,0.2516441629498409,0.4171679419976486,4.127620628523705e-12,0.047249804036639705,0
2023-09-22,5.9473013756019515e-12,4.9355687404554233e-11,0.2924863817107821,1.0360923569783606e-11,6.545717634356345e-12,8.759927877360725e-12,0.2520154642291273,0.4452451718388503,8.366910703267384e-12,0.0102529821319039,0
2023-09-25,2.3476703629614364e-11,7.3345063327254e-10,0.29248638724364623,5.175291581842211e-11,2.8726599454394045e-11,4.4724273964861995e-11,0.2520154596855079,0.44524516729743296,4.0776195673842285e-11,0.010252984850505732,0
2023-09-26,2.5694611785018425e-11,4.080494987879962e-10,0.28393809950824167,5.4883976799042813e-11,2.9128248624351445e-11,4.525100869272635e-11,0.25164415470171936,0.4171679496638255,4.2171874936714645e-11,0.047249795521034206,0
2023-09-27,5.5542150439987914e-12,8.749958826168044e-11,0.2746028293807126,1.2533785751400075e-11,5.903732241848744e-12,1.0474387670501461e-11,0.26165836829480066,0.4008786240643454,9.454602411875531e-12,0.06286017812872101,0
2023-09-28,8.54481746647355e-12,1.4430173088047155e-10,0.24321224832637117,2.327719179311385e-11,1.1087398299698475e-11,1.9969595802644363e-11,0.2598793567155066,0.38403078271789015,1.7675436824221225e-11,0.11287761201537579,0
2023-10-09,6.497959472088726e-11,2.714946116457452e-09,0.25001844266134093,2.6040729744982177e-10,1.1857610103629483e-10,2.382924078382809e-10,0.24635997526688672,0.3731301811210625,1.913455564163138e-10,0.13049139736216275,0
