date,w_000338.SZ,w_002027.SZ,w_002371.SZ,w_600009.SH,w_600029.SH,w_600183.SH,w_600406.SH,w_600900.SH,w_601989.SH,w_601998.SH,w_CASH
2023-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-08-08,4.52339334064941e-09,1.0923756833905464e-08,0.23760856224385504,2.935396426860666e-09,4.50808871634881e-09,4.5431790522605445e-09,0.2789796032438102,0.4834117854303381,4.0266231455698465e-09,1.7621559226535662e-08,0
2023-08-09,7.69738606310287e-09,1.752070629178412e-08,0.23458125662254145,4.913292406037115e-09,7.582032545789129e-09,7.48688188388854e-09,0.27360119843112446,0.49181746831023654,6.343328066650246e-09,2.5092470279815794e-08,0
2023-08-10,5.46277667806129e-09,1.2519128145765884e-08,0.2391868303076888,3.513493271241475e-09,5.548508822390718e-09,5.4215752133796356e-09,0.27221855716638876,0.48859455888735115,4.535292330075407e-09,1.6637796625586213e-08,0
2023-08-11,2.0287137079359547e-09,4.635517205461129e-09,0.24059614330657086,1.2889123067040815e-09,2.0280776592338283e-09,1.9929981238782015e-09,0.2719767429971054,0.48742709383937505,1.6868859663406148e-09,6.195843640818762e-09,0
2023-08-14,6.529377483304747e-09,1.5307141208846513e-08,0.2432228833343332,4.195946487420279e-09,6.660346033950853e-09,6.358296461678807e-09,0.27063511997481915,0.48614193178065346,5.320705490801617e-09,2.0538381098995127e-08,0
2023-08-15,5.322068935312994e-09,1.2950462987979872e-08,0.2591312156787956,3.720634343046529e-09,5.721520012928982e-09,5.745656695067374e-09,0.2625946091844832,0.47827412112793477,4.858212176552393e-09,1.569023128460593e-08,0
2023-08-16,2.6549321234112515e-09,6.373958991789658e-09,0.2361522246251737,1.7998595473187853e-09,2.849807365980936e-09,2.7085127314984473e-09,0.26179960224093063,0.502048147083202,2.3546114339459e-09,7.309011562308318e-09,0
2023-08-17,4.3217960167356175e-09,1.0611408028761557e-08,0.23069864117997782,2.7635130882059445e-09,4.461219971197394e-09,4.247096881922524e-09,0.2598339178159497,0.5094673980302296,3.672198500586657e-09,1.289661055141408e-08,0
2023-08-18,6.563790433667579e-09,1.75055593382398e-08,0.23047676632089037,4.102231714877222e-09,6.623335955837129e-09,6.190410314505263e-09,0.26631108669896786,0.5032120797786174,5.320428038732073e-09,2.0895768715137043e-08,0
2023-08-21,4.095628061886957e-09,1.1187547745328692e-08,0.2253220836831507,2.4721722873576834e-09,3.962868776626097e-09,3.672854854896575e-09,0.2651427788960697,0.5095350967513574,3.148240756022497e-09,1.2130109756962925e-08,0
2023-08-22,4.881336981254809e-09,1.2574685818922189e-08,0.21650756470116064,2.960383879171326e-09,4.6734165680920285e-09,4.2372749165008455e-09,0.26817536652316176,0.5153170206508572,3.947910495325984e-09,1.4849811898095036e-08,0
2023-08-23,6.045579753767558e-09,1.7487325889407876e-08,0.22179588952792692,3.370893402932386e-09,5.602065719983074e-09,5.317219873244548e-09,0.27167006140043914,0.5065339886639334,4.80863262126275e-09,1.777598314659484e-08,0
