date,w_000338.SZ,w_002027.SZ,w_002371.SZ,w_600009.SH,w_600029.SH,w_600183.SH,w_600406.SH,w_600900.SH,w_601989.SH,w_601998.SH,w_CASH
2023-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-08-08,9.565948791302006e-11,0.17038510880844843,0.04774873545113282,4.3301595955898315e-11,1.714777089734104e-10,1.306045807195953e-10,1.3352113370582096e-10,5.3094165446506984e-11,0.1839667421081394,0.5978994130046207,0
2023-08-09,2.8248539910321504e-10,0.20152997640252301,0.05388608119394064,1.0975978565916315e-10,4.102224961353907e-10,3.663302438083519e-10,0.012619976869345845,1.6054253694442456e-10,0.1934465575767135,0.5385174066281365,0
2023-08-10,8.456739923205098e-10,0.20301633931711985,0.06063581018391205,3.1505256190881655e-10,1.1914479569486028e-09,8.864225351945488e-10,6.799503875596837e-08,5.818224699684469e-10,0.16331556045141213,0.5730322182320977,0
2023-08-11,7.974550555660328e-10,0.20847664863496132,0.07653991768337087,2.6928611591743276e-10,7.795967542795792e-10,6.369429568012524e-10,3.6392648811322315e-09,5.469843339861702e-10,0.12399214324970316,0.5909912837624347,0
2023-08-14,5.770566445641503e-11,0.18316223732882958,0.06991660676334698,3.353844690144526e-11,0.0027569000404093318,4.283280398869494e-11,0.03882621950748011,5.752154639234686e-11,0.11355797774658138,0.5917800584217541,0
2023-08-15,3.2482070567188925e-10,0.2019758524856041,0.09864743254149037,2.2430451691393993e-10,0.01712235891328706,2.882003845338684e-10,6.825480046991744e-10,3.1583516695107824e-10,0.13582112045626005,0.5464332337676497,0
2023-08-16,4.869107605182626e-11,0.21121694004029587,0.07141722087507124,2.8416157108281876e-11,0.0405566572146423,4.410601929090814e-11,7.797952594883522e-11,5.942166797612196e-11,0.1541321748873465,0.5226770067240297,0
2023-08-17,2.148122405729375e-11,0.208020062936204,0.02677073531932531,7.528282810710738e-12,0.04120333208571965,1.5635240886735897e-11,1.054737781146014e-10,1.9020931385014306e-11,0.12414602592149786,0.5998598435681136,0
2023-08-18,6.845311614233968e-11,0.23344496685199606,7.888020090888426e-11,2.4683330021769767e-11,0.08353925812902012,4.197490668829845e-11,1.3704891815218103e-10,6.676705005323803e-11,0.04157258575079571,0.6414431888503808,0
2023-08-21,2.6386977517492924e-11,0.20208191675514592,2.689077572858e-11,7.71914658873007e-12,0.07823497314838058,1.5228059691836932e-11,2.8218556535519266e-11,2.1461468329041165e-11,0.12486831774985355,0.5948147922207151,0
2023-08-22,1.3303529693370207e-10,0.1635536645396188,6.690338598650287e-11,4.681428919766987e-11,0.07359533871889254,6.88371501863612e-11,1.6743079691534222e-10,1.212462307343652e-10,0.09349156436159743,0.6693594317756242,0
2023-08-23,4.832374791382026e-11,0.2577530949957803,2.785865214563546e-11,1.506514911529035e-11,0.015218995276113086,2.9530063512940415e-11,7.6573324618165e-11,4.72326679949987e-11,0.0649639211815539,0.6620639883019691,0
2023-08-24,1.7384195600749753e-11,0.2464187593226059,1.0312465686362635e-11,5.541351076819507e-12,5.33905820567902e-09,1.203802289689641e-11,3.388513417614316e-11,1.9515730085821127e-11,0.0898988842467121,0.6636823509929468,0
2023-08-25,4.401255983548357e-10,0.2442644231422571,2.224966515175981e-10,1.2845247128958403e-10,0.002191825621882554,2.7956449576863776e-10,8.018633628771024e-10,4.73177175410984e-10,0.05303324647170542,0.7005105024184751,0
