date,w_000338.SZ,w_002027.SZ,w_002371.SZ,w_600009.SH,w_600029.SH,w_600183.SH,w_600406.SH,w_600900.SH,w_601989.SH,w_601998.SH,w_CASH
2023-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-08-08,4.045905522729673e-10,0.1805093324915189,0.015358912533680213,5.715440886777673e-11,1.9779501865628327e-10,3.8918430748535115e-10,1.9201429869781849e-10,3.680354948182648e-10,0.1953531040159375,0.6087786493500893,0
2023-08-09,3.600288055019746e-09,0.21426692064792505,0.02265091580361883,4.5805892106322716e-10,1.5452243238615338e-09,2.803560615518318e-09,0.010348473386108534,2.4102135029806805e-10,0.20418585920526694,0.5485478223089274,0
2023-08-10,1.0418621468665365e-09,0.21660909359830832,3.810408220034918e-10,2.7345789048871815e-20,9.556155867984537e-11,6.721600107347534e-10,6.144961262978549e-08,6.301636241814832e-10,0.18154459538366666,0.6018462467476241,0
2023-08-11,2.1689464881565477e-09,0.20968798656247764,0.06373903952974466,5.819378637673973e-12,4.804829593036496e-11,0.009378183380690313,3.830676048025971e-09,1.5915158573443593e-09,0.1338299709299534,0.5833648119521281,0
2023-08-14,4.805593326841645e-10,0.18445373276191326,0.018392072971915717,4.907616383146774e-12,0.05195192668863902,3.6271003248448355e-11,0.03860935368649545,3.4246582032036276e-10,0.12262151615582846,0.5839713968710044,0
2023-08-15,3.736153046723897e-09,0.20161724944549908,0.04696908109609519,5.898633131392931e-11,0.08310074619640713,1.7170908630049724e-10,8.129461737621489e-09,3.311084623116107e-09,0.145803445780195,0.5225094620744088,0
2023-08-16,3.7507623806261904e-09,0.22102782978514346,0.021234008755831625,1.2197293715512689e-11,0.07879780825969858,3.486596789744346e-11,6.285099987545466e-09,4.5185171874682226e-09,0.166801651503921,0.5121386870939626,0
2023-08-17,6.250907917107084e-10,0.22082056757203256,4.645031234880359e-11,1.2070931538952818e-12,0.045007043861853925,7.31419632496031e-12,2.079882723436986e-09,5.294612496192063e-10,0.1330984725481681,0.601073912728539,0
2023-08-18,3.380179868788795e-09,0.24929561698198308,8.033767703600576e-13,3.2227274551472003e-13,0.07749075462552384,1.5136189717699399e-12,4.967648915332594e-09,2.9644480806070444e-09,0.050194600685545654,0.6230190163920313,0
